Report_Name	Dataset Master Report
Report_ID	DSR
Release	RD1
Exceptions	3040: Partial Data Returned
Reporting_Period	2018-03-01 to 2018-03-31
Created	2018-03-12
Created_By	Dash

Dataset_Title	Publisher	Publisher_ID	Platform	Creators	Publication_Date	Dataset_Version	DOI	Other_ID	URI	YOP	Access_Method	Metric_Type	Country	Reporting_Period_Total	Reporting_Period_Volume
Binding Modes of Ligands Using Enhanced Sampling (BLUES): Rapid Decorrelation of Ligand Binding Modes via Nonequilibrium Candidate Monte Carlo	UC Irvine	grid.266093.8	Dash	Samuel Gill;Nathan Lim;Patrick Grinaway;Ariën Rustenburg;Josh Fass;Gregory Ross;John Chodera;David Mobley	2018-03-23		10.7280/D1ZD38		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1ZD38	2018	Regular	Total_Dataset_Investigations	GB	1	
Binding Modes of Ligands Using Enhanced Sampling (BLUES): Rapid Decorrelation of Ligand Binding Modes via Nonequilibrium Candidate Monte Carlo	UC Irvine	grid.266093.8	Dash	Samuel Gill;Nathan Lim;Patrick Grinaway;Ariën Rustenburg;Josh Fass;Gregory Ross;John Chodera;David Mobley	2018-03-23		10.7280/D1ZD38		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1ZD38	2018	Regular	Unique_Dataset_Investigations	GB	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Total_Dataset_Investigations	GB	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Unique_Dataset_Investigations	GB	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Total_Dataset_Investigations	ES	1	
"Data set for ""Planar Hall torque"""	DataONE	tbd	Dash	Eric Montoya;Christopher Safranski;Ilya Krivortov	2018-08-12		10.15146/R3H09M		https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3H09M	2018	Regular	Unique_Dataset_Investigations	ES	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Total_Dataset_Investigations	GB	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Unique_Dataset_Investigations	GB	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Total_Dataset_Investigations	US	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Unique_Dataset_Investigations	US	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Total_Dataset_Investigations	UA	1	
In Situ Transmission Electron Microscopy Data of Dislocations in Imperfectly Attached PbTe Nanocrystal Pairs	UC Berkeley	grid.47840.3f	Dash	Justin Ondry;Matthew Hauwiller;A. Paul Alivisatos	2018-02-24		10.6078/D17675		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D17675	2018	Regular	Unique_Dataset_Investigations	UA	1	
Oak Woodland Monitoring for the Irvine Open Space Easements (4)	UC Irvine	grid.266093.8	Dash	The Nature Conservancy San Diego Field Office	2015-04-14		10.7280/D1001P		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	2015	Regular	Total_Dataset_Investigations	FR	3	
Oak Woodland Monitoring for the Irvine Open Space Easements (4)	UC Irvine	grid.266093.8	Dash	The Nature Conservancy San Diego Field Office	2015-04-14		10.7280/D1001P		https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	2015	Regular	Unique_Dataset_Investigations	FR	3	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Total_Dataset_Investigations	US	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Unique_Dataset_Investigations	US	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Total_Dataset_Investigations	FR	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Unique_Dataset_Investigations	FR	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Total_Dataset_Investigations	RU	1	
SanFranciscoBay_Adapt2SeaLevelRise_CountyData	UC Berkeley	grid.47840.3f	Dash	Daniella Hirschfeld;Kristina Hill	2017-05-20		10.6078/D19596		https://dash.berkeley.edu/stash/dataset/doi:10.6078/D19596	2017	Regular	Unique_Dataset_Investigations	RU	1	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Total_Dataset_Investigations	US	2	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Unique_Dataset_Investigations	US	2	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Total_Dataset_Investigations	AU	2	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Unique_Dataset_Investigations	AU	2	
Supporting data for Loik et al. 2017 Wavelength-Selective Solar Photovoltaic Systems: Powering greenhouses for plant growth at the food-energy-water nexus. Earth's Future	UC Santa Cruz	grid.205975.c	Dash	Michael Loik	2017-08-18		10.7291/D10T0W		https://dash.library.ucsc.edu/stash/dataset/doi:10.7291/D10T0W	2017	Regular	Total_Dataset_Investigations	RU	1	
